project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
cloud_controller_ng.csv,ssr,BATCH4,4,35.573122529644266,183.0,104,14
cloud_controller_ng.csv,ssr,BATCHBISECT,2,42.29249011857708,73.0,40,3
cloud_controller_ng.csv,ssr,BATCHBISECT,4,37.15415019762846,183.0,104,14
cloud_controller_ng.csv,ssr,BATCHBISECT,8,58.10276679841897,603.0,55,20
cloud_controller_ng.csv,ssr,BATCHBISECT,16,74.30830039525692,1690.0,36,20
cloud_controller_ng.csv,ssr,BATCHSTOP4,4,35.573122529644266,183.0,104,14
cloud_controller_ng.csv,ssr,BATCHSTOP4,8,56.52173913043478,603.0,55,20
cloud_controller_ng.csv,ssr,BATCHSTOP4,16,72.72727272727273,1690.0,36,20
cloudify.csv,ssr,BATCH4,4,12.5,174.0,77,19
cloudify.csv,ssr,BATCHBISECT,2,7.991803278688525,33.0,86,15
cloudify.csv,ssr,BATCHBISECT,4,13.31967213114754,174.0,77,19
cloudify.csv,ssr,BATCHBISECT,8,14.754098360655735,644.0,67,20
cloudify.csv,ssr,BATCHBISECT,16,11.885245901639344,1920.0,118,19
cloudify.csv,ssr,BATCHSTOP4,4,12.5,174.0,77,19
cloudify.csv,ssr,BATCHSTOP4,8,13.934426229508198,644.0,67,20
cloudify.csv,ssr,BATCHSTOP4,16,11.065573770491802,1920.0,118,19
concerto.csv,ssr,BATCH4,4,13.10344827586207,133.0,76,12
concerto.csv,ssr,BATCHBISECT,2,30.689655172413797,65.0,9,4
concerto.csv,ssr,BATCHBISECT,4,13.79310344827586,133.0,76,12
concerto.csv,ssr,BATCHBISECT,8,18.620689655172413,413.0,62,20
concerto.csv,ssr,BATCHBISECT,16,20.344827586206897,1321.0,79,15
concerto.csv,ssr,BATCHSTOP4,4,13.10344827586207,133.0,76,12
concerto.csv,ssr,BATCHSTOP4,8,18.620689655172413,413.0,62,20
concerto.csv,ssr,BATCHSTOP4,16,20.344827586206897,1321.0,79,15
fog.csv,ssr,BATCH4,4,48.14814814814815,294.0,69,10
fog.csv,ssr,BATCHBISECT,2,49.57264957264957,107.0,37,3
fog.csv,ssr,BATCHBISECT,4,52.136752136752136,294.0,69,10
fog.csv,ssr,BATCHBISECT,8,50.142450142450144,743.0,125,19
fog.csv,ssr,BATCHBISECT,16,61.25356125356125,2068.0,108,19
fog.csv,ssr,BATCHSTOP4,4,48.14814814814815,294.0,69,10
fog.csv,ssr,BATCHSTOP4,8,46.15384615384615,743.0,125,19
fog.csv,ssr,BATCHSTOP4,16,58.97435897435897,2068.0,108,19
geoserver.csv,ssr,BATCH4,4,74.4047619047619,201.0,40,7
geoserver.csv,ssr,BATCHBISECT,2,70.23809523809524,62.0,31,3
geoserver.csv,ssr,BATCHBISECT,4,82.73809523809524,201.0,40,7
geoserver.csv,ssr,BATCHBISECT,8,96.42857142857144,504.0,47,11
geoserver.csv,ssr,BATCHBISECT,16,104.16666666666669,1158.0,30,12
geoserver.csv,ssr,BATCHSTOP4,4,74.4047619047619,201.0,40,7
geoserver.csv,ssr,BATCHSTOP4,8,86.9047619047619,504.0,47,11
geoserver.csv,ssr,BATCHSTOP4,16,93.45238095238096,1158.0,30,12
gradle.csv,ssr,BATCH4,4,8.258527827648114,180.0,138,18
gradle.csv,ssr,BATCHBISECT,2,15.61938958707361,75.0,63,7
gradle.csv,ssr,BATCHBISECT,4,8.258527827648114,180.0,138,18
gradle.csv,ssr,BATCHBISECT,8,12.926391382405743,749.0,142,19
gradle.csv,ssr,BATCHBISECT,16,21.723518850987432,2586.0,48,20
gradle.csv,ssr,BATCHSTOP4,4,8.258527827648114,180.0,138,18
gradle.csv,ssr,BATCHSTOP4,8,12.926391382405743,749.0,142,19
gradle.csv,ssr,BATCHSTOP4,16,21.723518850987432,2586.0,48,20
graylog2-server.csv,ssr,BATCH4,4,5.985037406483791,120.0,36,17
graylog2-server.csv,ssr,BATCHBISECT,2,5.486284289276808,20.0,38,19
graylog2-server.csv,ssr,BATCHBISECT,4,5.985037406483791,120.0,36,17
graylog2-server.csv,ssr,BATCHBISECT,8,8.478802992518704,469.0,49,20
graylog2-server.csv,ssr,BATCHBISECT,16,6.982543640897756,1495.0,68,19
graylog2-server.csv,ssr,BATCHSTOP4,4,5.985037406483791,120.0,36,17
graylog2-server.csv,ssr,BATCHSTOP4,8,8.478802992518704,469.0,49,20
graylog2-server.csv,ssr,BATCHSTOP4,16,6.982543640897756,1495.0,68,19
jruby.csv,ssr,BATCH4,4,47.94188861985472,375.0,119,9
jruby.csv,ssr,BATCHBISECT,2,53.75302663438256,130.0,63,3
jruby.csv,ssr,BATCHBISECT,4,54.23728813559322,375.0,119,9
jruby.csv,ssr,BATCHBISECT,8,76.99757869249395,1135.0,94,19
jruby.csv,ssr,BATCHBISECT,16,88.86198547215497,2805.0,32,12
jruby.csv,ssr,BATCHSTOP4,4,47.94188861985472,375.0,119,9
jruby.csv,ssr,BATCHSTOP4,8,71.1864406779661,1135.0,94,19
jruby.csv,ssr,BATCHSTOP4,16,82.08232445520581,2805.0,32,12
loomio.csv,ssr,BATCH4,4,43.90243902439025,180.0,31,7
loomio.csv,ssr,BATCHBISECT,2,41.46341463414634,53.0,28,4
