project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
sufia.csv,ssr,BATCHSTOP4,4,0.0,0.0,6,19
sufia.csv,ssr,BATCHSTOP4,8,0.0,0.0,6,19
sufia.csv,ssr,BATCHSTOP4,16,0.0,0.0,6,19
sufia.csv,ssr,BATCHBISECT,2,0.0,0.0,6,19
sufia.csv,ssr,BATCHBISECT,4,0.0,0.0,6,19
sufia.csv,ssr,BATCHBISECT,8,0.0,0.0,6,19
sufia.csv,ssr,BATCHBISECT,16,0.0,0.0,6,19
sufia.csv,ssr,BATCH4,4,0.0,0.0,6,19
open-build-service.csv,ssr,BATCHSTOP4,4,20.386266708374023,234.0,170,20
open-build-service.csv,ssr,BATCHSTOP4,8,35.19313430786133,896.0,123,20
open-build-service.csv,ssr,BATCHSTOP4,16,59.871246337890625,3001.0,21,14
open-build-service.csv,ssr,BATCHBISECT,2,41.63090133666992,134.0,48,3
open-build-service.csv,ssr,BATCHBISECT,4,21.2446346282959,234.0,170,20
open-build-service.csv,ssr,BATCHBISECT,8,36.0515022277832,896.0,123,20
open-build-service.csv,ssr,BATCHBISECT,16,61.587982177734375,3001.0,21,14
open-build-service.csv,ssr,BATCH4,4,20.386266708374023,234.0,170,20
loomio.csv,ssr,BATCHSTOP4,4,24.878047943115234,114.0,65,17
loomio.csv,ssr,BATCHSTOP4,8,41.46341323852539,420.0,44,19
loomio.csv,ssr,BATCHSTOP4,16,59.024391174316406,1200.0,9,16
loomio.csv,ssr,BATCHBISECT,2,41.46341323852539,53.0,28,4
loomio.csv,ssr,BATCHBISECT,4,26.829267501831055,114.0,65,17
loomio.csv,ssr,BATCHBISECT,8,45.36585235595703,420.0,44,19
loomio.csv,ssr,BATCHBISECT,16,61.95121765136719,1200.0,9,16
loomio.csv,ssr,BATCH4,4,24.878047943115234,114.0,65,17
geoserver.csv,ssr,BATCHSTOP4,4,62.5,174.0,60,15
geoserver.csv,ssr,BATCHSTOP4,8,86.9047622680664,504.0,33,12
geoserver.csv,ssr,BATCHSTOP4,16,93.45237731933594,1158.0,12,12
geoserver.csv,ssr,BATCHBISECT,2,70.23809814453125,62.0,31,3
geoserver.csv,ssr,BATCHBISECT,4,68.45237731933594,174.0,60,15
geoserver.csv,ssr,BATCHBISECT,8,96.42857360839844,504.0,33,12
geoserver.csv,ssr,BATCHBISECT,16,104.16666412353516,1158.0,12,12
geoserver.csv,ssr,BATCH4,4,62.5,174.0,60,15
metasploit-framework.csv,ssr,BATCHSTOP4,4,5.3177690505981445,222.0,115,19
metasploit-framework.csv,ssr,BATCHSTOP4,8,8.949416160583496,924.0,104,20
metasploit-framework.csv,ssr,BATCHSTOP4,16,15.175097465515137,3261.0,58,20
metasploit-framework.csv,ssr,BATCHBISECT,2,6.744487762451172,48.0,89,16
metasploit-framework.csv,ssr,BATCHBISECT,4,5.3177690505981445,222.0,115,19
metasploit-framework.csv,ssr,BATCHBISECT,8,8.949416160583496,924.0,104,20
metasploit-framework.csv,ssr,BATCHBISECT,16,15.693903923034668,3261.0,58,20
metasploit-framework.csv,ssr,BATCH4,4,5.3177690505981445,222.0,115,19
rubinius.csv,ssr,BATCHSTOP4,4,32.727272033691406,144.0,77,17
rubinius.csv,ssr,BATCHSTOP4,8,51.818180084228516,560.0,35,15
rubinius.csv,ssr,BATCHSTOP4,16,83.18181610107422,1626.0,0,2
rubinius.csv,ssr,BATCHBISECT,2,41.818180084228516,52.0,53,6
rubinius.csv,ssr,BATCHBISECT,4,38.181819915771484,144.0,77,17
rubinius.csv,ssr,BATCHBISECT,8,59.09090805053711,560.0,35,15
rubinius.csv,ssr,BATCHBISECT,16,89.54545593261719,1626.0,0,2
rubinius.csv,ssr,BATCH4,4,32.727272033691406,144.0,77,17
gradle.csv,ssr,BATCHSTOP4,4,7.001795291900635,162.0,93,20
gradle.csv,ssr,BATCHSTOP4,8,12.9263916015625,749.0,79,19
gradle.csv,ssr,BATCHSTOP4,16,21.72351837158203,2586.0,30,20
gradle.csv,ssr,BATCHBISECT,2,8.617594718933105,40.0,76,15
gradle.csv,ssr,BATCHBISECT,4,7.001795291900635,162.0,93,20
gradle.csv,ssr,BATCHBISECT,8,12.9263916015625,749.0,79,19
gradle.csv,ssr,BATCHBISECT,16,21.72351837158203,2586.0,30,20
gradle.csv,ssr,BATCH4,4,7.001795291900635,162.0,93,20
puppet.csv,ssr,BATCHSTOP4,4,2.8985507488250732,18.0,4,20
puppet.csv,ssr,BATCHSTOP4,8,2.8985507488250732,57.0,4,18
puppet.csv,ssr,BATCHSTOP4,16,14.492753982543945,240.0,0,19
puppet.csv,ssr,BATCHBISECT,2,4.34782600402832,3.0,6,17
puppet.csv,ssr,BATCHBISECT,4,2.8985507488250732,18.0,4,20
puppet.csv,ssr,BATCHBISECT,8,2.8985507488250732,57.0,4,18
puppet.csv,ssr,BATCHBISECT,16,17.39130401611328,240.0,0,19
puppet.csv,ssr,BATCH4,4,2.8985507488250732,18.0,4,20
concerto.csv,ssr,BATCHSTOP4,4,8.275861740112305,96.0,59,17
concerto.csv,ssr,BATCHSTOP4,8,12.758620262145996,379.0,67,19
concerto.csv,ssr,BATCHSTOP4,16,18.275861740112305,1320.0,36,16
concerto.csv,ssr,BATCHBISECT,2,7.931034564971924,19.0,47,15
concerto.csv,ssr,BATCHBISECT,4,8.275861740112305,96.0,59,17
concerto.csv,ssr,BATCHBISECT,8,13.448275566101074,379.0,67,19
concerto.csv,ssr,BATCHBISECT,16,18.275861740112305,1320.0,36,16
concerto.csv,ssr,BATCH4,4,8.275861740112305,96.0,59,17
vagrant.csv,ssr,BATCHSTOP4,4,9.507041931152344,93.0,17,18
vagrant.csv,ssr,BATCHSTOP4,8,10.563380241394043,336.0,16,20
vagrant.csv,ssr,BATCHSTOP4,16,13.732394218444824,1101.0,35,20
vagrant.csv,ssr,BATCHBISECT,2,7.746479034423828,18.0,34,16
vagrant.csv,ssr,BATCHBISECT,4,9.507041931152344,93.0,17,18
vagrant.csv,ssr,BATCHBISECT,8,10.563380241394043,336.0,16,20
vagrant.csv,ssr,BATCHBISECT,16,13.732394218444824,1101.0,35,20
vagrant.csv,ssr,BATCH4,4,9.507041931152344,93.0,17,18
fog.csv,ssr,BATCHSTOP4,4,31.05413055419922,201.0,117,20
fog.csv,ssr,BATCHSTOP4,8,46.153846740722656,743.0,62,19
fog.csv,ssr,BATCHSTOP4,16,57.83475875854492,2068.0,46,20
fog.csv,ssr,BATCHBISECT,2,49.57265090942383,107.0,37,3
fog.csv,ssr,BATCHBISECT,4,35.0427360534668,201.0,117,20
fog.csv,ssr,BATCHBISECT,8,50.14244842529297,743.0,62,19
fog.csv,ssr,BATCHBISECT,16,60.68376159667969,2068.0,46,20
fog.csv,ssr,BATCH4,4,31.05413055419922,201.0,117,20
jruby.csv,ssr,BATCHSTOP4,4,45.036319732666016,330.0,118,20
jruby.csv,ssr,BATCHSTOP4,8,71.18643951416016,1135.0,40,19
jruby.csv,ssr,BATCHSTOP4,16,82.08232116699219,2770.0,36,20
jruby.csv,ssr,BATCHBISECT,2,53.75302505493164,130.0,63,3
jruby.csv,ssr,BATCHBISECT,4,50.84745788574219,330.0,118,20
jruby.csv,ssr,BATCHBISECT,8,76.9975814819336,1135.0,40,19
jruby.csv,ssr,BATCHBISECT,16,88.86198425292969,2770.0,36,20
jruby.csv,ssr,BATCH4,4,45.036319732666016,330.0,118,20
sonarqube.csv,ssr,BATCHSTOP4,4,11.0,102.0,92,20
sonarqube.csv,ssr,BATCHSTOP4,8,29.0,547.0,41,18
sonarqube.csv,ssr,BATCHSTOP4,16,36.33333206176758,1588.0,30,18
sonarqube.csv,ssr,BATCHBISECT,2,12.333333015441895,27.0,66,13
sonarqube.csv,ssr,BATCHBISECT,4,11.666666984558105,102.0,92,20
sonarqube.csv,ssr,BATCHBISECT,8,29.0,547.0,41,18
sonarqube.csv,ssr,BATCHBISECT,16,36.33333206176758,1588.0,30,18
sonarqube.csv,ssr,BATCH4,4,11.0,102.0,92,20
graylog2-server.csv,ssr,BATCHSTOP4,4,5.486284255981445,108.0,28,20
graylog2-server.csv,ssr,BATCHSTOP4,8,8.478802680969238,469.0,13,20
graylog2-server.csv,ssr,BATCHSTOP4,16,6.982543468475342,1495.0,23,19
graylog2-server.csv,ssr,BATCHBISECT,2,5.486284255981445,20.0,29,19
graylog2-server.csv,ssr,BATCHBISECT,4,5.486284255981445,108.0,28,20
graylog2-server.csv,ssr,BATCHBISECT,8,8.478802680969238,469.0,13,20
graylog2-server.csv,ssr,BATCHBISECT,16,6.982543468475342,1495.0,23,19
graylog2-server.csv,ssr,BATCH4,4,5.486284255981445,108.0,28,20
opal.csv,ssr,BATCHSTOP4,4,6.25,61.0,37,20
opal.csv,ssr,BATCHSTOP4,8,6.25,252.0,46,20
opal.csv,ssr,BATCHSTOP4,16,12.053571701049805,885.0,46,18
opal.csv,ssr,BATCHBISECT,2,8.035714149475098,16.0,27,14
opal.csv,ssr,BATCHBISECT,4,6.25,61.0,37,20
opal.csv,ssr,BATCHBISECT,8,6.25,252.0,46,20
opal.csv,ssr,BATCHBISECT,16,12.053571701049805,885.0,46,18
opal.csv,ssr,BATCH4,4,6.25,61.0,37,20
cloudify.csv,ssr,BATCHSTOP4,4,9.221311569213867,150.0,64,20
cloudify.csv,ssr,BATCHSTOP4,8,13.934426307678223,644.0,31,20
cloudify.csv,ssr,BATCHSTOP4,16,11.065573692321777,1920.0,64,19
cloudify.csv,ssr,BATCHBISECT,2,7.581967353820801,31.0,56,16
cloudify.csv,ssr,BATCHBISECT,4,9.631147384643555,150.0,64,20
cloudify.csv,ssr,BATCHBISECT,8,14.754097938537598,644.0,31,20
cloudify.csv,ssr,BATCHBISECT,16,11.885246276855469,1920.0,64,19
cloudify.csv,ssr,BATCH4,4,9.221311569213867,150.0,64,20
orbeon-forms.csv,ssr,BATCHSTOP4,4,12.875536918640137,85.0,66,20
orbeon-forms.csv,ssr,BATCHSTOP4,8,24.892704010009766,393.0,54,16
orbeon-forms.csv,ssr,BATCHSTOP4,16,58.798282623291016,1561.0,2,11
orbeon-forms.csv,ssr,BATCHBISECT,2,20.600858688354492,31.0,43,10
orbeon-forms.csv,ssr,BATCHBISECT,4,12.875536918640137,85.0,66,20
orbeon-forms.csv,ssr,BATCHBISECT,8,24.892704010009766,393.0,54,16
orbeon-forms.csv,ssr,BATCHBISECT,16,59.65665054321289,1561.0,2,11
orbeon-forms.csv,ssr,BATCH4,4,12.875536918640137,85.0,66,20
cloud_controller_ng.csv,ssr,BATCHSTOP4,4,25.29644203186035,147.0,94,20
cloud_controller_ng.csv,ssr,BATCHSTOP4,8,56.5217399597168,603.0,37,20
cloud_controller_ng.csv,ssr,BATCHSTOP4,16,72.7272720336914,1690.0,18,20
cloud_controller_ng.csv,ssr,BATCHBISECT,2,42.2924919128418,73.0,40,3
cloud_controller_ng.csv,ssr,BATCHBISECT,4,26.877470016479492,147.0,94,20
cloud_controller_ng.csv,ssr,BATCHBISECT,8,58.10276794433594,603.0,37,20
cloud_controller_ng.csv,ssr,BATCHBISECT,16,74.30830383300781,1690.0,18,20
cloud_controller_ng.csv,ssr,BATCH4,4,25.29644203186035,147.0,94,20
