project,NB_builds,NB_delay,NB_Batch,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
gradle.csv,0,0,0,7.001795291900635,255.0,4,8.617594718933105,116.0,2,7.001795291900635,255.0,4
open-build-service.csv,0,0,0,20.386266708374023,404.0,4,41.63090133666992,182.0,2,20.386266708374023,404.0,4
puppet.csv,0,0,0,2.898550748825073,22.0,4,4.34782600402832,9.0,2,2.898550748825073,22.0,4
sufia.csv,0,0,0,0.0,6.0,4,0.0,6.0,2,0.0,6.0,4
loomio.csv,0,0,0,24.878047943115234,179.0,4,41.46341323852539,81.0,2,24.878047943115234,179.0,4
geoserver.csv,0,0,0,62.5,234.0,4,70.23809814453125,93.0,2,62.5,234.0,4
metasploit-framework.csv,0,0,0,5.3177690505981445,337.0,4,6.744487762451172,137.0,2,5.3177690505981445,337.0,4
concerto.csv,0,0,0,8.275861740112305,155.0,4,7.931034564971924,66.0,2,8.275861740112305,155.0,4
cloud_controller_ng.csv,0,0,0,25.29644203186035,241.0,4,42.2924919128418,113.0,2,25.29644203186035,241.0,4
fog.csv,0,0,0,31.05413055419922,318.0,4,49.57265090942383,144.0,2,31.05413055419922,318.0,4
rails.csv,0,0,0,0,318.0,0,0,144.0,0,0,318.0,0
sonarqube.csv,0,0,0,11.0,194.0,4,12.333333015441896,93.0,2,11.0,194.0,4
vagrant.csv,0,0,0,9.507041931152344,110.0,4,7.746479034423828,52.0,2,9.507041931152344,110.0,4
graylog2-server.csv,0,0,0,5.486284255981445,136.0,4,5.486284255981445,49.0,2,5.486284255981445,136.0,4
cloudify.csv,0,0,0,9.221311569213867,214.0,4,7.581967353820801,87.0,2,9.221311569213867,214.0,4
orbeon-forms.csv,0,0,0,12.875536918640137,151.0,4,20.60085868835449,74.0,2,12.875536918640137,151.0,4
opal.csv,0,0,0,6.25,98.0,4,8.035714149475098,43.0,2,6.25,98.0,4
jruby.csv,0,0,0,45.036319732666016,448.0,4,53.75302505493164,193.0,2,45.036319732666016,448.0,4
rubinius.csv,0,0,0,32.727272033691406,221.0,4,41.81818008422852,105.0,2,32.727272033691406,221.0,4
