project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
jruby.csv,ssr,BATCHSTOP4,4,55.93220520019531,390.0,125,9
jruby.csv,ssr,BATCHSTOP4,8,78.93462371826172,1235.0,38,19
jruby.csv,ssr,BATCHSTOP4,16,87.65132904052734,2766.0,29,20
jruby.csv,ssr,BATCH4,4,55.93220520019531,390.0,125,9
jruby.csv,ssr,BATCHBISECT,1,55.447940826416016,0.0,82,2
jruby.csv,ssr,BATCHBISECT,2,56.17433547973633,134.0,59,3
jruby.csv,ssr,BATCHBISECT,4,60.774818420410156,390.0,125,9
jruby.csv,ssr,BATCHBISECT,8,84.74576568603516,1235.0,38,19
jruby.csv,ssr,BATCHBISECT,16,92.97821044921875,2766.0,29,20
geoserver.csv,ssr,BATCHSTOP4,4,76.78571319580078,198.0,31,5
geoserver.csv,ssr,BATCHSTOP4,8,97.61904907226562,533.0,26,9
geoserver.csv,ssr,BATCHSTOP4,16,110.11904907226562,1201.0,12,7
geoserver.csv,ssr,BATCH4,4,76.78571319580078,198.0,31,5
geoserver.csv,ssr,BATCHBISECT,1,43.4523811340332,0.0,49,3
geoserver.csv,ssr,BATCHBISECT,2,66.07142639160156,57.0,35,3
geoserver.csv,ssr,BATCHBISECT,4,85.11904907226562,198.0,31,5
geoserver.csv,ssr,BATCHBISECT,8,108.33333587646484,533.0,26,9
geoserver.csv,ssr,BATCHBISECT,16,120.83333587646484,1201.0,12,7
heroku.csv,ssr,BATCHSTOP4,4,11.475409507751465,18.0,21,19
heroku.csv,ssr,BATCHSTOP4,8,14.754097938537598,84.0,17,15
heroku.csv,ssr,BATCHSTOP4,16,29.508195877075195,276.0,24,11
heroku.csv,ssr,BATCH4,4,11.475409507751465,18.0,21,19
heroku.csv,ssr,BATCHBISECT,1,8.196721076965332,0.0,15,11
heroku.csv,ssr,BATCHBISECT,2,18.032787322998047,7.0,6,10
heroku.csv,ssr,BATCHBISECT,4,11.475409507751465,18.0,21,19
heroku.csv,ssr,BATCHBISECT,8,14.754097938537598,84.0,17,15
heroku.csv,ssr,BATCHBISECT,16,29.508195877075195,276.0,24,11
cloudify.csv,ssr,BATCHSTOP4,4,11.680327415466309,174.0,79,18
