tr_build_id,gh_diff_src_churn,gh_team_size,gh_diff_files_modified,gh_diff_test_churn,tr_status
4644317.0,0.0,49.0,1.0,0.0,1
25529487.0,26.0,58.0,7.0,0.0,1
96093894.0,7.0,51.0,1.0,0.0,1
23681784.0,59.0,59.0,11.0,0.0,1
95376591.0,2.0,51.0,2.0,22.0,1
145713543.0,2.0,52.0,1.0,0.0,0
24199786.0,5.0,59.0,1.0,0.0,1
9162820.0,2.0,49.0,1.0,0.0,1
6085477.0,2.0,49.0,1.0,0.0,1
22817976.0,13.0,55.0,1.0,0.0,1
62503146.0,7.0,50.0,2.0,0.0,1
22154540.0,7.0,56.0,3.0,4.0,0
12175536.0,1.0,48.0,1.0,0.0,1
16081945.0,4.0,52.0,1.0,0.0,1
18175986.0,2.0,53.0,2.0,8.0,1
13538096.0,4.0,48.0,1.0,0.0,1
19507321.0,7.0,53.0,2.0,46.0,1
15107170.0,2.0,51.0,1.0,0.0,1
91936763.0,8.0,51.0,2.0,0.0,0
13182777.0,2.0,48.0,1.0,0.0,1
135739527.0,2.0,51.0,1.0,0.0,1
5928337.0,36.0,49.0,5.0,29.0,1
16601809.0,1552.0,53.0,38.0,176.0,1
38873544.0,39.0,53.0,5.0,63.0,0
8907364.0,2.0,49.0,1.0,0.0,1
31860390.0,15.0,47.0,2.0,0.0,1
98718107.0,26.0,50.0,1.0,0.0,1
46241103.0,27.0,53.0,5.0,85.0,1
10039641.0,4.0,49.0,1.0,0.0,1
50355713.0,2.0,52.0,1.0,0.0,1
14513744.0,173.0,50.0,6.0,0.0,1
38739895.0,3.0,51.0,2.0,0.0,1
69794457.0,2.0,49.0,1.0,0.0,1
65567919.0,5.0,50.0,1.0,0.0,1
92179248.0,2.0,51.0,1.0,0.0,1
10119591.0,4.0,49.0,1.0,0.0,1
32194707.0,1.0,47.0,1.0,0.0,1
49196930.0,27.0,52.0,1.0,0.0,1
5124642.0,42.0,49.0,0.0,0.0,1
26904743.0,16.0,57.0,1.0,0.0,1
5616477.0,1.0,49.0,1.0,0.0,1
91942922.0,1.0,51.0,2.0,1.0,0
10998376.0,1.0,49.0,1.0,0.0,1
14427928.0,40.0,50.0,6.0,22.0,1
133680751.0,10.0,49.0,1.0,0.0,1
42425213.0,3.0,53.0,1.0,0.0,1
10038251.0,2.0,49.0,1.0,0.0,1
5788739.0,5.0,49.0,2.0,0.0,1
9817509.0,3.0,49.0,1.0,0.0,1
6085868.0,7.0,49.0,2.0,0.0,1
11363167.0,2.0,49.0,1.0,0.0,1
137756184.0,4.0,51.0,2.0,0.0,1
92368264.0,0.0,51.0,1.0,2.0,1
133682374.0,6.0,49.0,1.0,0.0,1
16937257.0,2.0,53.0,1.0,0.0,1
24674955.0,26.0,59.0,3.0,0.0,1
15539759.0,93.0,52.0,1.0,312.0,1
25415431.0,1.0,58.0,2.0,2.0,1
6143124.0,11.0,49.0,1.0,0.0,1
46126847.0,2.0,53.0,1.0,0.0,1
8910650.0,6.0,49.0,2.0,0.0,1
18322681.0,0.0,53.0,2.0,6.0,1
15247321.0,2.0,51.0,1.0,0.0,1
103871768.0,6.0,50.0,1.0,0.0,1
106484115.0,0.0,50.0,2.0,16.0,1
24505452.0,5.0,59.0,3.0,11.0,1
65152314.0,3.0,50.0,1.0,0.0,1
17075792.0,0.0,53.0,1.0,0.0,1
55381069.0,0.0,52.0,1.0,0.0,1
83198041.0,3.0,49.0,1.0,0.0,1
47655864.0,4.0,52.0,1.0,0.0,1
37689226.0,0.0,50.0,1.0,0.0,1
25660231.0,30.0,58.0,2.0,0.0,1
12681742.0,2.0,48.0,1.0,0.0,1
45386945.0,2.0,53.0,1.0,0.0,1
11258291.0,2.0,49.0,1.0,0.0,1
5123055.0,4.0,49.0,1.0,0.0,1
20220046.0,12.0,54.0,2.0,0.0,1
33919315.0,2.0,46.0,1.0,0.0,1
20698532.0,1.0,54.0,2.0,0.0,1
14588625.0,25.0,50.0,1.0,0.0,1
6900881.0,8.0,48.0,5.0,0.0,1
15063933.0,2.0,51.0,1.0,0.0,1
92847594.0,3.0,51.0,1.0,0.0,1
12026935.0,13.0,49.0,1.0,0.0,1
92364288.0,0.0,51.0,1.0,9.0,1
18156288.0,0.0,53.0,1.0,0.0,1
52018654.0,30.0,52.0,1.0,0.0,1
135725462.0,61.0,51.0,1.0,19.0,1
61306063.0,6.0,50.0,1.0,0.0,1
130234168.0,2.0,49.0,1.0,0.0,1
69837434.0,14.0,49.0,1.0,0.0,1
9160267.0,2.0,49.0,1.0,0.0,1
21220884.0,3.0,54.0,1.0,0.0,1
116797941.0,31.0,46.0,4.0,29.0,1
43552720.0,2098.0,53.0,32.0,2399.0,0
10735332.0,13.0,49.0,3.0,0.0,1
70443479.0,2.0,49.0,1.0,0.0,1
31765372.0,1.0,47.0,1.0,0.0,1
91921592.0,2.0,51.0,1.0,0.0,0
58999677.0,19.0,50.0,3.0,0.0,1
4610244.0,54.0,49.0,3.0,0.0,1
34304898.0,6.0,46.0,1.0,0.0,1
26634886.0,1.0,58.0,1.0,0.0,1
46702122.0,9.0,53.0,3.0,86.0,1
16755957.0,0.0,53.0,1.0,2.0,1
137750446.0,4.0,51.0,2.0,0.0,1
4624951.0,5.0,49.0,1.0,0.0,1
19236139.0,12.0,53.0,1.0,0.0,1
38661907.0,3.0,51.0,2.0,0.0,1
10776855.0,190.0,49.0,14.0,0.0,0
12423921.0,2.0,48.0,1.0,0.0,1
22076411.0,0.0,56.0,1.0,0.0,1
8812950.0,17.0,49.0,1.0,0.0,1
18157526.0,68.0,53.0,5.0,50.0,1
20462190.0,10.0,54.0,2.0,0.0,1
22078894.0,15.0,56.0,5.0,19.0,1
134021003.0,2.0,49.0,1.0,55.0,1
35355085.0,2.0,47.0,1.0,0.0,1
129555559.0,10.0,49.0,1.0,0.0,1
25803986.0,1166.0,58.0,173.0,352.0,1
24052680.0,14.0,59.0,1.0,0.0,1
18783771.0,5.0,53.0,1.0,0.0,1
4458745.0,0.0,47.0,1.0,0.0,1
6397196.0,44.0,49.0,5.0,17.0,1
23893602.0,1.0,59.0,1.0,0.0,1
135735321.0,24.0,51.0,4.0,0.0,1
86860154.0,10.0,50.0,1.0,0.0,1
16755700.0,53.0,53.0,2.0,42.0,0
4631376.0,14.0,49.0,1.0,0.0,1
25660263.0,1.0,58.0,1.0,0.0,1
16888153.0,230.0,53.0,12.0,319.0,1
14686237.0,15.0,50.0,3.0,5.0,1
9160159.0,11.0,49.0,3.0,0.0,1
12063638.0,6.0,49.0,2.0,0.0,1
92322021.0,1.0,51.0,1.0,0.0,1
92116312.0,1.0,51.0,1.0,0.0,1
4558434.0,18.0,47.0,3.0,0.0,1
5702166.0,1.0,49.0,1.0,0.0,1
24152486.0,244.0,59.0,2.0,0.0,1
38787860.0,1.0,52.0,1.0,0.0,1
69837303.0,3.0,49.0,1.0,0.0,1
4576543.0,20.0,47.0,3.0,0.0,1
14871845.0,2.0,50.0,1.0,0.0,1
25415524.0,4.0,58.0,2.0,0.0,1
133769074.0,21.0,49.0,2.0,0.0,1
9200449.0,47.0,49.0,3.0,0.0,1
14839587.0,2.0,50.0,2.0,10.0,1
38959578.0,5.0,53.0,3.0,0.0,1
70462887.0,13.0,49.0,2.0,0.0,1
38665669.0,10.0,51.0,2.0,0.0,1
135725590.0,1.0,51.0,1.0,0.0,1
50063070.0,4.0,52.0,1.0,0.0,1
6168520.0,71.0,49.0,5.0,0.0,1
46477683.0,3.0,53.0,1.0,0.0,1
46757584.0,161.0,53.0,1.0,0.0,1
16993721.0,2.0,53.0,1.0,0.0,1
11039154.0,6.0,49.0,2.0,0.0,1
5593986.0,2.0,49.0,1.0,0.0,1
15436539.0,2.0,51.0,1.0,0.0,1
6501037.0,60.0,49.0,1.0,0.0,1
9251074.0,12.0,49.0,1.0,0.0,1
16081204.0,3.0,52.0,1.0,0.0,1
11490888.0,15.0,49.0,2.0,0.0,1
62551509.0,3.0,50.0,1.0,0.0,1
138607499.0,214.0,52.0,5.0,0.0,1
38836703.0,25.0,52.0,2.0,0.0,0
22076532.0,12.0,56.0,3.0,0.0,1
60441440.0,12.0,50.0,1.0,0.0,1
121712463.0,19.0,47.0,2.0,7.0,1
85972192.0,2.0,50.0,1.0,0.0,1
24063553.0,0.0,59.0,1.0,4.0,1
47657045.0,4.0,52.0,2.0,0.0,1
45964048.0,3.0,53.0,1.0,0.0,1
83197913.0,336.0,49.0,13.0,46.0,1
17356658.0,4.0,53.0,2.0,0.0,1
20698383.0,22.0,54.0,3.0,25.0,1
44052391.0,12.0,53.0,4.0,55.0,1
44465805.0,12.0,53.0,2.0,0.0,1
14582565.0,12.0,50.0,3.0,0.0,1
43442807.0,2.0,53.0,1.0,0.0,1
