tr_build_id,gh_diff_src_churn,gh_team_size,gh_diff_files_modified,gh_diff_test_churn,tr_status
53536549.0,7.0,38.0,1.0,0.0,1
49635956.0,38.0,40.0,0.0,0.0,1
49181856.0,41.0,39.0,3.0,0.0,1
37540237.0,324.0,48.0,19.0,0.0,1
58384938.0,105.0,38.0,5.0,0.0,0
85879682.0,6592.0,41.0,142.0,49.0,1
40690097.0,2.0,44.0,1.0,0.0,1
34886678.0,288.0,50.0,6.0,0.0,0
46725785.0,5.0,41.0,1.0,0.0,1
56480651.0,46.0,38.0,9.0,0.0,1
24230453.0,356.0,37.0,17.0,0.0,1
24301246.0,13.0,37.0,2.0,0.0,1
55468715.0,124.0,38.0,17.0,0.0,1
53004788.0,0.0,38.0,1.0,0.0,1
61017280.0,28.0,38.0,5.0,0.0,1
36100303.0,16.0,51.0,2.0,0.0,1
61602652.0,313.0,39.0,22.0,6.0,1
61387187.0,20.0,39.0,2.0,0.0,1
55894646.0,0.0,38.0,5.0,0.0,0
44619478.0,0.0,42.0,1.0,6.0,1
61862778.0,178.0,39.0,2.0,0.0,0
53011632.0,0.0,38.0,0.0,0.0,1
30478812.0,65.0,39.0,14.0,31.0,1
47008416.0,27.0,41.0,1.0,0.0,1
58556596.0,33.0,38.0,6.0,153.0,1
40910278.0,15.0,44.0,5.0,0.0,1
30639674.0,32.0,39.0,2.0,0.0,1
54921640.0,34.0,38.0,1.0,0.0,0
29167080.0,49.0,38.0,4.0,0.0,1
21337891.0,791.0,38.0,41.0,0.0,1
38679778.0,25.0,47.0,3.0,0.0,1
44764052.0,13.0,42.0,8.0,0.0,1
41590408.0,8.0,45.0,1.0,0.0,1
23606971.0,521.0,38.0,4.0,0.0,1
56423423.0,150.0,38.0,12.0,0.0,1
41713852.0,299.0,43.0,4.0,0.0,1
58270507.0,25.0,38.0,4.0,0.0,0
51190514.0,8.0,39.0,1.0,0.0,0
40481532.0,6.0,45.0,2.0,0.0,1
52985199.0,58.0,38.0,7.0,0.0,1
24582041.0,489.0,37.0,12.0,21.0,0
55735141.0,4.0,38.0,2.0,0.0,1
33123892.0,236.0,47.0,2.0,0.0,1
28182536.0,0.0,36.0,1.0,0.0,1
43360885.0,54.0,42.0,2.0,0.0,1
62218582.0,1.0,39.0,1.0,0.0,0
61243144.0,64.0,39.0,11.0,58.0,1
95734169.0,1201.0,46.0,31.0,0.0,0
61779420.0,516.0,39.0,20.0,11.0,1
38148314.0,0.0,48.0,1.0,0.0,1
38671744.0,368.0,47.0,3.0,0.0,1
34355370.0,0.0,49.0,1.0,0.0,1
43675345.0,141.0,42.0,15.0,0.0,1
29481351.0,341.0,38.0,10.0,0.0,1
41529367.0,35.0,45.0,3.0,0.0,1
49219646.0,0.0,39.0,1.0,0.0,1
57809999.0,9.0,38.0,1.0,0.0,1
