,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,total_delays
0,cloud_controller_ng.csv,gr,BATCHBISECT,2,76.2845849802372,127.0,0.0,127.0
1,cloud_controller_ng.csv,gr,BATCHBISECT,4,76.6798418972332,381.0,0.0,381.0
2,cloud_controller_ng.csv,gr,BATCH4,4,75.8893280632411,381.0,0.0,381.0
3,cloud_controller_ng.csv,gr,BATCHSTOP4,4,75.8893280632411,381.0,0.0,381.0
4,cloud_controller_ng.csv,gr,BATCHBISECT,8,82.2134387351779,893.0,0.0,893.0
5,cloud_controller_ng.csv,gr,BATCHSTOP4,8,81.4229249011858,893.0,0.0,893.0
6,cloud_controller_ng.csv,gr,BATCHBISECT,16,88.5375494071146,1917.0,0.0,1917.0
7,cloud_controller_ng.csv,gr,BATCHSTOP4,16,86.9565217391304,1917.0,0.0,1917.0
8,cloudify.csv,gr,BATCHBISECT,2,57.3770491803279,244.0,0.0,244.0
9,cloudify.csv,gr,BATCHBISECT,4,39.344262295082,732.0,0.0,732.0
10,cloudify.csv,gr,BATCH4,4,38.9344262295082,732.0,0.0,732.0
11,cloudify.csv,gr,BATCHSTOP4,4,38.9344262295082,732.0,0.0,732.0
12,cloudify.csv,gr,BATCHBISECT,8,32.5819672131148,1708.0,0.0,1708.0
13,cloudify.csv,gr,BATCHSTOP4,8,32.172131147541,1708.0,0.0,1708.0
14,cloudify.csv,gr,BATCHBISECT,16,31.3524590163934,3692.0,0.0,3692.0
15,cloudify.csv,gr,BATCHSTOP4,16,30.9426229508197,3692.0,0.0,3692.0
16,concerto.csv,gr,BATCHBISECT,2,60.3448275862069,145.0,0.0,145.0
17,concerto.csv,gr,BATCHBISECT,4,45.8620689655172,437.0,0.0,437.0
18,concerto.csv,gr,BATCH4,4,45.8620689655172,437.0,0.0,437.0
19,concerto.csv,gr,BATCHSTOP4,4,45.8620689655172,437.0,0.0,437.0
20,concerto.csv,gr,BATCHBISECT,8,42.4137931034483,1021.0,0.0,1021.0
21,concerto.csv,gr,BATCHSTOP4,8,42.4137931034483,1021.0,0.0,1021.0
22,concerto.csv,gr,BATCHBISECT,16,43.7931034482759,2189.0,0.0,2189.0
23,concerto.csv,gr,BATCHSTOP4,16,43.7931034482759,2189.0,0.0,2189.0
24,fog.csv,gr,BATCHBISECT,2,78.0626780626781,176.0,0.0,176.0
25,fog.csv,gr,BATCHBISECT,4,76.3532763532764,528.0,0.0,528.0
26,fog.csv,gr,BATCH4,4,71.5099715099715,528.0,0.0,528.0
27,fog.csv,gr,BATCHSTOP4,4,71.5099715099715,528.0,0.0,528.0
28,fog.csv,gr,BATCHBISECT,8,79.7720797720798,1232.0,0.0,1232.0
29,fog.csv,gr,BATCHSTOP4,8,74.9287749287749,1232.0,0.0,1232.0
30,fog.csv,gr,BATCHBISECT,16,83.7606837606838,2640.0,0.0,2640.0
31,fog.csv,gr,BATCHSTOP4,16,78.3475783475784,2640.0,0.0,2640.0
32,geoserver.csv,gr,BATCHBISECT,2,97.6190476190476,84.0,0.0,84.0
33,geoserver.csv,gr,BATCHBISECT,4,107.142857142857,252.0,0.0,252.0
34,geoserver.csv,gr,BATCH4,4,94.0476190476191,252.0,0.0,252.0
35,geoserver.csv,gr,BATCHSTOP4,4,94.0476190476191,252.0,0.0,252.0
36,geoserver.csv,gr,BATCHBISECT,8,118.452380952381,588.0,0.0,588.0
37,geoserver.csv,gr,BATCHSTOP4,8,105.357142857143,588.0,0.0,588.0
38,geoserver.csv,gr,BATCHBISECT,16,124.404761904762,1292.0,0.0,1292.0
39,geoserver.csv,gr,BATCHSTOP4,16,111.309523809524,1292.0,0.0,1292.0
40,gradle.csv,gr,BATCHBISECT,2,57.2710951526032,279.0,0.0,279.0
41,gradle.csv,gr,BATCHBISECT,4,39.4973070017953,837.0,0.0,837.0
42,gradle.csv,gr,BATCH4,4,39.4973070017953,837.0,0.0,837.0
43,gradle.csv,gr,BATCHSTOP4,4,39.4973070017953,837.0,0.0,837.0
44,gradle.csv,gr,BATCHBISECT,8,33.7522441651706,1957.0,0.0,1957.0
45,gradle.csv,gr,BATCHSTOP4,8,33.7522441651706,1957.0,0.0,1957.0
46,gradle.csv,gr,BATCHBISECT,16,33.572710951526,4197.0,0.0,4197.0
47,gradle.csv,gr,BATCHSTOP4,16,33.572710951526,4197.0,0.0,4197.0
48,graylog2-server.csv,gr,BATCHBISECT,2,53.6159600997506,201.0,0.0,201.0
49,graylog2-server.csv,gr,BATCHBISECT,4,32.1695760598504,603.0,0.0,603.0
50,graylog2-server.csv,gr,BATCH4,4,32.1695760598504,603.0,0.0,603.0
51,graylog2-server.csv,gr,BATCHSTOP4,4,32.1695760598504,603.0,0.0,603.0
52,graylog2-server.csv,gr,BATCHBISECT,8,23.1920199501247,1407.0,0.0,1407.0
53,graylog2-server.csv,gr,BATCHSTOP4,8,23.1920199501247,1407.0,0.0,1407.0
54,graylog2-server.csv,gr,BATCHBISECT,16,20.4488778054863,3015.0,0.0,3015.0
55,graylog2-server.csv,gr,BATCHSTOP4,16,20.4488778054863,3015.0,0.0,3015.0
56,jruby.csv,gr,BATCHBISECT,2,84.9878934624697,207.0,0.0,207.0
57,jruby.csv,gr,BATCHBISECT,4,88.6198547215496,621.0,0.0,621.0
58,jruby.csv,gr,BATCH4,4,82.3244552058111,621.0,0.0,621.0
59,jruby.csv,gr,BATCHSTOP4,4,82.3244552058111,621.0,0.0,621.0
60,jruby.csv,gr,BATCHBISECT,8,95.8837772397095,1453.0,0.0,1453.0
61,jruby.csv,gr,BATCHSTOP4,8,89.588377723971,1453.0,0.0,1453.0
62,jruby.csv,gr,BATCHBISECT,16,101.694915254237,3117.0,0.0,3117.0
63,jruby.csv,gr,BATCHSTOP4,16,94.9152542372881,3117.0,0.0,3117.0
64,loomio.csv,gr,BATCHBISECT,2,74.6341463414634,103.0,0.0,103.0
65,loomio.csv,gr,BATCHBISECT,4,68.2926829268293,309.0,0.0,309.0
66,loomio.csv,gr,BATCH4,4,62.4390243902439,309.0,0.0,309.0
67,loomio.csv,gr,BATCHSTOP4,4,62.4390243902439,309.0,0.0,309.0
68,loomio.csv,gr,BATCHBISECT,8,71.219512195122,725.0,0.0,725.0
69,loomio.csv,gr,BATCHSTOP4,8,65.3658536585366,725.0,0.0,725.0
70,loomio.csv,gr,BATCHBISECT,16,74.6341463414634,1557.0,0.0,1557.0
71,loomio.csv,gr,BATCHSTOP4,16,68.2926829268293,1557.0,0.0,1557.0
72,metasploit-framework.csv,gr,BATCHBISECT,2,56.2905317769131,386.0,0.0,386.0
73,metasploit-framework.csv,gr,BATCHBISECT,4,37.2243839169909,1158.0,0.0,1158.0
74,metasploit-framework.csv,gr,BATCH4,4,36.9649805447471,1158.0,0.0,1158.0
75,metasploit-framework.csv,gr,BATCHSTOP4,4,36.9649805447471,1158.0,0.0,1158.0
76,metasploit-framework.csv,gr,BATCHBISECT,8,30.2204928664073,2706.0,0.0,2706.0
77,metasploit-framework.csv,gr,BATCHSTOP4,8,29.9610894941634,2706.0,0.0,2706.0
78,metasploit-framework.csv,gr,BATCHBISECT,16,28.1452658884566,5802.0,0.0,5802.0
79,metasploit-framework.csv,gr,BATCHSTOP4,16,27.8858625162127,5802.0,0.0,5802.0
80,opal.csv,gr,BATCHBISECT,2,58.0357142857143,112.0,0.0,112.0
81,opal.csv,gr,BATCHBISECT,4,40.1785714285714,336.0,0.0,336.0
82,opal.csv,gr,BATCH4,4,39.2857142857143,336.0,0.0,336.0
83,opal.csv,gr,BATCHSTOP4,4,39.2857142857143,336.0,0.0,336.0
84,opal.csv,gr,BATCHBISECT,8,34.8214285714286,784.0,0.0,784.0
85,opal.csv,gr,BATCHSTOP4,8,33.9285714285714,784.0,0.0,784.0
86,opal.csv,gr,BATCHBISECT,16,34.8214285714286,1680.0,0.0,1680.0
87,opal.csv,gr,BATCHSTOP4,16,33.9285714285714,1680.0,0.0,1680.0
88,open-build-service.csv,gr,BATCHBISECT,2,70.6008583690987,233.0,0.0,233.0
89,open-build-service.csv,gr,BATCHBISECT,4,64.1630901287554,701.0,0.0,701.0
90,open-build-service.csv,gr,BATCH4,4,62.0171673819743,701.0,0.0,701.0
91,open-build-service.csv,gr,BATCHSTOP4,4,62.0171673819743,701.0,0.0,701.0
92,open-build-service.csv,gr,BATCHBISECT,8,66.7381974248927,1637.0,0.0,1637.0
93,open-build-service.csv,gr,BATCHSTOP4,8,64.5922746781116,1637.0,0.0,1637.0
94,open-build-service.csv,gr,BATCHBISECT,16,71.2446351931331,3509.0,0.0,3509.0
95,open-build-service.csv,gr,BATCHSTOP4,16,69.0987124463519,3509.0,0.0,3509.0
96,orbeon-forms.csv,gr,BATCHBISECT,2,67.381974248927,117.0,0.0,117.0
97,orbeon-forms.csv,gr,BATCHBISECT,4,59.656652360515,351.0,0.0,351.0
98,orbeon-forms.csv,gr,BATCH4,4,59.656652360515,351.0,0.0,351.0
99,orbeon-forms.csv,gr,BATCHSTOP4,4,59.656652360515,351.0,0.0,351.0
100,orbeon-forms.csv,gr,BATCHBISECT,8,60.9442060085837,819.0,0.0,819.0
101,orbeon-forms.csv,gr,BATCHSTOP4,8,60.9442060085837,819.0,0.0,819.0
102,orbeon-forms.csv,gr,BATCHBISECT,16,63.9484978540773,1779.0,0.0,1779.0
103,orbeon-forms.csv,gr,BATCHSTOP4,16,63.9484978540773,1779.0,0.0,1779.0
