,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,total_delays
0,cloud_controller_ng.csv,gr,BATCHBISECT,2,76.2845849802372,1.0,0.0,1.0
1,cloud_controller_ng.csv,gr,BATCHBISECT,4,76.6798418972332,2.0,0.0,2.0
2,cloud_controller_ng.csv,gr,BATCH4,4,75.8893280632411,2.0,0.0,2.0
3,cloud_controller_ng.csv,gr,BATCHSTOP4,4,75.8893280632411,2.0,0.0,2.0
4,cloud_controller_ng.csv,gr,BATCHBISECT,8,82.2134387351779,4.0,0.0,4.0
5,cloud_controller_ng.csv,gr,BATCHSTOP4,8,81.4229249011858,4.0,0.0,4.0
6,cloud_controller_ng.csv,gr,BATCHBISECT,16,88.5375494071146,8.0,0.0,8.0
7,cloud_controller_ng.csv,gr,BATCHSTOP4,16,86.9565217391304,8.0,0.0,8.0
8,cloudify.csv,gr,BATCHBISECT,2,57.3770491803279,0.5,0.0,0.5
9,cloudify.csv,gr,BATCHBISECT,4,39.344262295082,1.5,0.0,1.5
10,cloudify.csv,gr,BATCH4,4,38.9344262295082,1.5,0.0,1.5
11,cloudify.csv,gr,BATCHSTOP4,4,38.9344262295082,1.5,0.0,1.5
12,cloudify.csv,gr,BATCHBISECT,8,32.5819672131148,3.5,0.0,3.5
13,cloudify.csv,gr,BATCHSTOP4,8,32.172131147541,3.5,0.0,3.5
14,cloudify.csv,gr,BATCHBISECT,16,31.3524590163934,8.0,0.0,8.0
15,cloudify.csv,gr,BATCHSTOP4,16,30.9426229508197,8.0,0.0,8.0
16,concerto.csv,gr,BATCHBISECT,2,60.3448275862069,0.5,0.0,0.5
17,concerto.csv,gr,BATCHBISECT,4,45.8620689655172,2.0,0.0,2.0
18,concerto.csv,gr,BATCH4,4,45.8620689655172,2.0,0.0,2.0
19,concerto.csv,gr,BATCHSTOP4,4,45.8620689655172,2.0,0.0,2.0
20,concerto.csv,gr,BATCHBISECT,8,42.4137931034483,4.0,0.0,4.0
21,concerto.csv,gr,BATCHSTOP4,8,42.4137931034483,4.0,0.0,4.0
22,concerto.csv,gr,BATCHBISECT,16,43.7931034482759,8.0,0.0,8.0
23,concerto.csv,gr,BATCHSTOP4,16,43.7931034482759,8.0,0.0,8.0
24,fog.csv,gr,BATCHBISECT,2,78.0626780626781,1.0,0.0,1.0
25,fog.csv,gr,BATCHBISECT,4,76.3532763532764,2.0,0.0,2.0
26,fog.csv,gr,BATCH4,4,71.5099715099715,2.0,0.0,2.0
27,fog.csv,gr,BATCHSTOP4,4,71.5099715099715,2.0,0.0,2.0
28,fog.csv,gr,BATCHBISECT,8,79.7720797720798,4.0,0.0,4.0
29,fog.csv,gr,BATCHSTOP4,8,74.9287749287749,4.0,0.0,4.0
30,fog.csv,gr,BATCHBISECT,16,83.7606837606838,8.0,0.0,8.0
31,fog.csv,gr,BATCHSTOP4,16,78.3475783475784,8.0,0.0,8.0
32,geoserver.csv,gr,BATCHBISECT,2,97.6190476190476,0.5,0.0,0.5
33,geoserver.csv,gr,BATCHBISECT,4,107.142857142857,1.5,0.0,1.5
34,geoserver.csv,gr,BATCH4,4,94.0476190476191,1.5,0.0,1.5
35,geoserver.csv,gr,BATCHSTOP4,4,94.0476190476191,1.5,0.0,1.5
36,geoserver.csv,gr,BATCHBISECT,8,118.452380952381,3.5,0.0,3.5
37,geoserver.csv,gr,BATCHSTOP4,8,105.357142857143,3.5,0.0,3.5
38,geoserver.csv,gr,BATCHBISECT,16,124.404761904762,8.0,0.0,8.0
39,geoserver.csv,gr,BATCHSTOP4,16,111.309523809524,8.0,0.0,8.0
40,gradle.csv,gr,BATCHBISECT,2,57.2710951526032,1.0,0.0,1.0
41,gradle.csv,gr,BATCHBISECT,4,39.4973070017953,2.0,0.0,2.0
42,gradle.csv,gr,BATCH4,4,39.4973070017953,2.0,0.0,2.0
43,gradle.csv,gr,BATCHSTOP4,4,39.4973070017953,2.0,0.0,2.0
44,gradle.csv,gr,BATCHBISECT,8,33.7522441651706,4.0,0.0,4.0
45,gradle.csv,gr,BATCHSTOP4,8,33.7522441651706,4.0,0.0,4.0
46,gradle.csv,gr,BATCHBISECT,16,33.572710951526,8.0,0.0,8.0
47,gradle.csv,gr,BATCHSTOP4,16,33.572710951526,8.0,0.0,8.0
48,graylog2-server.csv,gr,BATCHBISECT,2,53.6159600997506,1.0,0.0,1.0
49,graylog2-server.csv,gr,BATCHBISECT,4,32.1695760598504,2.0,0.0,2.0
50,graylog2-server.csv,gr,BATCH4,4,32.1695760598504,2.0,0.0,2.0
51,graylog2-server.csv,gr,BATCHSTOP4,4,32.1695760598504,2.0,0.0,2.0
52,graylog2-server.csv,gr,BATCHBISECT,8,23.1920199501247,4.0,0.0,4.0
53,graylog2-server.csv,gr,BATCHSTOP4,8,23.1920199501247,4.0,0.0,4.0
54,graylog2-server.csv,gr,BATCHBISECT,16,20.4488778054863,8.0,0.0,8.0
55,graylog2-server.csv,gr,BATCHSTOP4,16,20.4488778054863,8.0,0.0,8.0
56,jruby.csv,gr,BATCHBISECT,2,84.9878934624697,1.0,0.0,1.0
57,jruby.csv,gr,BATCHBISECT,4,88.6198547215496,2.0,0.0,2.0
58,jruby.csv,gr,BATCH4,4,82.3244552058111,2.0,0.0,2.0
59,jruby.csv,gr,BATCHSTOP4,4,82.3244552058111,2.0,0.0,2.0
60,jruby.csv,gr,BATCHBISECT,8,95.8837772397095,4.0,0.0,4.0
61,jruby.csv,gr,BATCHSTOP4,8,89.588377723971,4.0,0.0,4.0
62,jruby.csv,gr,BATCHBISECT,16,101.694915254237,8.0,0.0,8.0
63,jruby.csv,gr,BATCHSTOP4,16,94.9152542372881,8.0,0.0,8.0
64,loomio.csv,gr,BATCHBISECT,2,74.6341463414634,1.0,0.0,1.0
65,loomio.csv,gr,BATCHBISECT,4,68.2926829268293,2.0,0.0,2.0
66,loomio.csv,gr,BATCH4,4,62.4390243902439,2.0,0.0,2.0
67,loomio.csv,gr,BATCHSTOP4,4,62.4390243902439,2.0,0.0,2.0
68,loomio.csv,gr,BATCHBISECT,8,71.219512195122,4.0,0.0,4.0
69,loomio.csv,gr,BATCHSTOP4,8,65.3658536585366,4.0,0.0,4.0
70,loomio.csv,gr,BATCHBISECT,16,74.6341463414634,8.0,0.0,8.0
71,loomio.csv,gr,BATCHSTOP4,16,68.2926829268293,8.0,0.0,8.0
